id;code;city_id
457;1130;128
458;1133;128
459;1143;128
460;1144;128
461;1114;129
462;2011;130
463;2010;130
464;1110;131
465;1116;131
466;1153;131
467;2028;131
468;2071;131
469;2086;132
470;4180;133
471;4115;133
472;4120;133
473;4123;133
474;4136;133
475;4146;133
476;4182;133
477;4185;133
478;4186;133
479;4156;133
480;4179;133
481;4190;133
482;4195;133
483;4100;134
484;4127;134
485;4131;134
486;4141;134
487;4143;134
488;4159;135
489;4132;135
490;4151;135
491;4110;135
492;4112;135
493;4122;135
494;4191;136
495;4117;136
496;4181;136
497;4116;137
498;4126;137
499;4133;137
500;4145;137
501;4165;137
502;4175;137
503;4176;137
504;4113;137
505;4199;137
506;4124;138
507;4194;138
508;4173;138
509;4134;138
510;4170;138
511;4137;138
512;4144;138
513;4154;138
514;4164;138
515;4172;138
516;4174;138
517;4114;138
518;4111;139
519;4121;139
520;4130;139
521;4142;139
522;4192;140
523;4193;140
524;4160;140
525;4153;140
526;4183;140
527;4163;140
528;4135;141
529;4150;141
530;4155;141
531;4166;141
532;4125;141
533;5099;142
534;5035;142
535;5015;142
536;5031;143
537;5025;143
538;5023;143
539;5063;143
540;5070;144
541;5016;144
542;5020;145
543;5030;145
544;5043;145
545;5027;145
546;5028;145
547;5013;145
548;5017;145
549;5012;146
550;5042;146
551;5061;146
552;5060;147
553;5000;147
554;5011;147
555;5065;147
556;5079;147
557;5089;147
558;5034;148
559;5044;148
560;5050;148
561;5051;148
562;5053;148
563;5054;148
564;5071;148
565;5024;148
566;5052;149
567;5041;149
568;5010;149
569;5066;150
570;5080;150
571;5033;151
572;5040;151
573;5045;151
574;5046;151
575;5090;152
576;5092;152
577;5091;152
578;5021;153
579;5022;153
580;5032;153
581;5036;153
582;5076;153
583;5014;154
584;5026;154
585;5062;154
586;8070;155
587;8076;155
588;8024;155
589;8033;155
590;8043;155
591;8053;155
592;8063;156
593;8073;156
594;8051;156
595;8020;156
596;8041;156
597;8031;157
598;8010;158
599;8091;158
600;8080;159
601;8034;159
602;8054;159
603;8064;159
604;8083;159
605;8015;159
606;8062;160
607;8000;160
608;8060;161
609;8023;161
610;8013;161
611;8066;161
612;8021;162
613;8099;162
614;8014;162
615;8050;163
616;8056;163
617;8042;163
618;8032;163
619;8045;164
620;8046;164
621;8074;164
622;8026;164
623;8016;164
624;8036;164
625;8035;165
626;8055;165
627;8065;165
628;8069;165
629;8090;165
630;8094;165
631;8030;166
632;8012;166
633;8093;166
634;8052;166
635;8082;166
636;8084;166
637;8092;166
638;8089;167
639;8044;167
640;8071;167
641;8061;168
642;8022;168
643;8040;168
644;8011;169
645;8075;169
646;8025;170
647;8096;170
648;3043;171
649;3010;171
650;3053;171
651;3033;171
652;3050;172
653;3073;172
654;3024;173
655;3034;173
656;3087;174
657;3036;174
658;3046;174
659;3066;174
660;3095;174
661;3097;175
662;3040;175
663;3082;175
664;3085;175
665;3030;176
666;3037;176
667;3057;176
668;3075;176
669;3099;177
670;3000;177
671;3027;177
672;3032;177
673;3039;177
674;3047;177
675;3048;177
676;3049;177
677;3051;177
678;3065;177
679;3069;177
680;3079;177
681;3089;177
682;3067;178
683;3011;178
684;3054;178
685;3061;178
686;3063;178
687;3081;178
688;3094;178
689;3060;179
690;3044;179
691;3014;180
692;3020;180
693;3092;180
694;3064;181
695;3071;181
696;3072;181
697;3023;181
698;3052;181
699;3083;182
700;3012;182
701;3013;182
702;3022;182
703;3042;182
704;3059;182
705;3062;182
706;3074;182
707;3076;182
708;3084;182
709;3093;182
710;3078;182
711;3016;183
712;3026;183
713;3056;183
714;3077;183
715;3080;183
716;3086;183
717;3015;184
718;3025;184
719;3035;184
720;3045;184
721;3055;184
722;3070;184
723;3021;185
724;3031;185
725;3041;185
726;3091;185
727;9120;186
728;9169;186
729;9113;187
730;9123;187
731;9126;187
732;9159;187
733;9110;188
734;9122;189
735;9180;190
736;9183;190
737;9116;190
738;9150;191
739;9151;191
740;9154;191
741;9115;192
742;9170;192
743;9172;192
744;9173;192
745;9174;192
746;9100;193
747;9111;193
748;9125;193
749;9127;193
750;9131;193
751;9132;193
752;9121;194
753;9142;194
754;9112;195
755;9133;195
756;9141;195
757;9171;195
758;9140;196
759;9143;196
760;9144;196
761;9149;196
762;9158;196
763;9114;197
764;9124;197
765;9139;197
766;6196;198
767;6143;198
768;6123;198
769;6100;198
770;6124;198
771;6113;199
772;6134;199
773;6112;199
774;6130;200
775;6121;201
776;6126;201
777;6110;201
778;6111;201
779;6172;201
780;6114;202
781;6131;202
782;6133;202
783;6141;202
784;6125;203
785;6120;203
786;6122;203
787;6132;203
788;6180;204
789;6170;205
790;6173;205
791;6115;205
792;6140;206
793;6142;206
794;6151;206
795;6150;207
796;6152;207
797;6116;208
798;6135;208
799;4040;209
800;4043;209
801;4045;209
802;4025;210
803;4026;210
804;4051;211
805;4054;211
806;4061;211
807;4071;211
808;4023;212
809;4031;212
810;4041;212
811;4081;212
812;4000;213
813;4059;213
814;4010;214
815;4082;214
816;4092;214
817;4042;215
818;4022;215
819;4017;216
820;4089;216
821;4011;216
822;4021;217
823;4020;218
824;4013;219
825;4014;219
826;4015;219
827;4016;219
